X Y Z
0.06215942 0.98789161 0.00000000
-0.18761048 0.97522253 0.00000000
-0.40330195 0.83018672 0.00000000
0.66018957 0.60469979 0.00000000
1.01185310 0.27954888 0.00000000
0.57910430 0.81609887 0.00000000
0.60851967 0.67843831 0.00000000
-0.55768579 0.81328875 0.00000000
-0.69718730 0.63918650 0.00000000
0.86103451 0.25800845 0.00000000
0.78928596 0.55364096 0.00000000
0.53083426 0.76996762 0.00000000
1.01948285 0.20917761 0.00000000
0.44504321 0.91697311 0.00000000
-0.88091713 0.34350958 0.00000000
0.57985872 0.69810086 0.00000000
-0.49783209 0.93155712 0.00000000
-0.92593551 0.30184492 0.00000000
0.93690205 0.36503106 0.00000000
-0.18288368 0.96750951 0.00000000
0.66646498 0.88348627 0.00000000
-0.88685763 0.18734217 0.00000000
0.01342599 0.98720932 0.00000000
-0.90451103 0.42934692 0.00000000
-0.58885247 0.82436383 0.00000000
0.95743704 0.19807740 0.00000000
-0.70318913 0.67501348 0.00000000
-0.02115157 1.08477426 0.00000000
-0.69863653 0.74974149 0.00000000
-0.30154407 0.89820981 0.00000000
-0.84489548 0.62697709 0.00000000
-0.73448873 0.65100121 0.00000000
-0.34903207 1.04252791 0.00000000
1.08648908 0.40568295 0.00000000
0.94380355 0.36855325 0.00000000
-0.59861684 0.88692957 0.00000000
0.62667555 0.83804315 0.00000000
0.78982097 0.47367781 0.00000000
-0.18521480 0.95221680 0.00000000
0.78451753 0.72384650 0.00000000
0.33205992 1.04941046 0.00000000
-1.07387269 -0.10337939 0.00000000
0.97724658 0.37912199 0.00000000
0.48358524 0.94199568 0.00000000
-0.07838926 1.20898807 0.00000000
0.73121107 0.64413512 0.00000000
0.96322048 0.18430752 0.00000000
-1.15119457 0.10795085 0.00000000
0.29161805 1.03647423 0.00000000
1.05998325 0.14591549 0.00000000
-0.22621973 0.92100435 0.00000000
-0.51345396 0.87458420 0.00000000
1.14979506 -0.00664017 0.00000000
-0.95300168 -0.07569516 0.00000000
-0.78409094 0.66897613 0.00000000
1.05739617 -0.07269810 0.00000000
0.57880670 0.83600777 0.00000000
0.94581527 0.24711914 0.00000000
0.86586344 0.47803611 0.00000000
-0.78582013 0.83375490 0.00000000
-0.83605719 0.54592508 0.00000000
0.91901886 0.56795162 0.00000000
0.46448743 0.80983508 0.00000000
-0.96337712 0.28974414 0.00000000
-0.47693416 0.89705265 0.00000000
-0.57897878 0.69711649 0.00000000
-0.97512710 0.00122967 0.00000000
-1.06351256 0.13128798 0.00000000
-0.49951825 0.90247875 0.00000000
0.33018857 0.89127082 0.00000000
-0.72546113 0.83767086 0.00000000
-0.95730215 0.45901024 0.00000000
-0.22280602 0.85118020 0.00000000
-0.33200699 0.91431934 0.00000000
0.20619455 0.73664397 0.00000000
0.92476165 0.11616775 0.00000000
0.86941534 0.11574715 0.00000000
0.15014105 0.86977273 0.00000000
-0.85525346 0.48901221 0.00000000
-0.90054590 0.55596554 0.00000000
0.11954700 1.02181447 0.00000000
0.92417806 0.19321337 0.00000000
0.28953156 0.92876220 0.00000000
0.17940105 0.99306816 0.00000000
0.82163215 -0.04981206 0.00000000
0.94646132 0.59385353 0.00000000
1.03002882 0.34041718 0.00000000
-0.57274812 0.71117091 0.00000000
0.55838722 0.71304697 0.00000000
-0.44853559 0.87577605 0.00000000
-0.71124607 0.34840730 0.00000000
-0.96544409 0.08665580 0.00000000
0.16691324 0.91670549 0.00000000
-0.18788885 1.05226851 0.00000000
-0.27382585 0.91570365 0.00000000
-0.92843962 0.43406174 0.00000000
-0.47582591 0.82148874 0.00000000
-0.51611382 0.77914387 0.00000000
0.62662631 0.75967836 0.00000000
0.37530494 0.89713663 0.00000000
-0.62720996 0.80626953 0.00000000
0.56485856 0.95225292 0.00000000
-0.06062439 1.01150322 0.00000000
0.07444833 0.98190272 0.00000000
-0.12228266 0.99081200 0.00000000
1.02575529 0.40949258 0.00000000
0.24796899 0.91759443 0.00000000
-0.24927935 0.92648208 0.00000000
0.76328278 0.59903151 0.00000000
0.94616312 0.56651288 0.00000000
-0.34903920 0.93225276 0.00000000
0.86476153 0.52345866 0.00000000
-0.92195070 0.05537628 0.00000000
0.79826051 0.70289820 0.00000000
0.83173770 0.62404788 0.00000000
-0.60698545 0.70331562 0.00000000
-0.94086254 0.42124724 0.00000000
-0.13916482 0.98596835 0.00000000
0.76622331 0.54999113 0.00000000
-0.75548667 0.51484460 0.00000000
-0.31440377 0.93615091 0.00000000
0.50519067 0.85433733 0.00000000
0.16571306 1.04801702 0.00000000
1.10909092 0.09701749 0.00000000
0.06168763 1.04868257 0.00000000
-1.09538698 0.02511319 0.00000000
-0.61898512 0.79299092 0.00000000
0.00443361 0.94900912 0.00000000
-0.24144804 0.93679500 0.00000000
0.64293182 0.93050724 0.00000000
0.09047024 0.87642241 0.00000000
0.85570091 0.03554144 0.00000000
-0.76857090 0.55024141 0.00000000
-0.44374600 0.95450497 0.00000000
0.22379252 1.00858843 0.00000000
0.41191271 0.95171386 0.00000000
-0.15833797 1.01923037 0.00000000
-0.94095010 0.17692067 0.00000000
0.99445707 0.25619712 0.00000000
-0.69865268 0.69630057 0.00000000
0.81693578 0.52050787 0.00000000
0.52814013 0.82520580 0.00000000
-0.86108434 0.12110844 0.00000000
-0.96843928 0.41002375 0.00000000
-1.02500117 0.49091259 0.00000000
-0.97624218 0.39494964 0.00000000
-0.89326149 0.40426382 0.00000000
0.11131525 0.96994811 0.00000000
-0.99864745 0.09993926 0.00000000
0.54629630 0.96200579 0.00000000
-0.70913768 0.52486920 0.00000000
0.91213167 0.18086004 0.00000000
0.76946157 0.70837492 0.00000000
-0.87912172 0.33610040 0.00000000
-0.05269051 1.04690528 0.00000000
0.67550260 0.57502359 0.00000000
-0.41336504 0.96520084 0.00000000
-0.75167507 0.69500238 0.00000000
-0.49394417 0.83983159 0.00000000
-0.13601284 0.93301606 0.00000000
0.89719766 0.41867200 0.00000000
1.09910476 -0.06184914 0.00000000
0.52529007 1.09138227 0.00000000
0.51687741 0.91598880 0.00000000
0.94827312 0.25883037 0.00000000
